ID,RA,DEC,Z,Radius_Mpc,Density_Fraction,Effective_Radius_deg,Catalog_Source
1236,,,,56.95,,1.8224,SDSS_DR12
12591,,,,57.503,,1.840096,SDSS_DR12
2536,,,,40.844,,1.3070080000000002,SDSS_DR12
8911,,,,59.0,,1.8880000000000001,SDSS_DR12
2235,,,,42.408,,1.357056,SDSS_DR12
16693,,,,55.774,,1.7847680000000001,SDSS_DR12
12105,,,,53.674,,1.717568,SDSS_DR12
887,,,,41.254,,1.320128,SDSS_DR12
12778,,,,36.479,,1.167328,SDSS_DR12
16311,,,,33.173,,1.061536,SDSS_DR12
22602,,,,74.874,,2.395968,SDSS_DR12
14960,,,,58.744,,1.879808,SDSS_DR12
11374,,,,61.046,,1.953472,SDSS_DR12
20199,,,,41.139,,1.316448,SDSS_DR12
11752,,,,36.753,,1.176096,SDSS_DR12
5285,,,,41.409,,1.325088,SDSS_DR12
15562,,,,48.656,,1.556992,SDSS_DR12
15417,,,,33.199,,1.062368,SDSS_DR12
21616,,,,76.99,,2.46368,SDSS_DR12
21937,,,,36.04,,1.15328,SDSS_DR12
14673,,,,99.712,,3.1907840000000003,SDSS_DR12
3559,,,,62.371,,1.995872,SDSS_DR12
15046,,,,60.487,,1.9355840000000002,SDSS_DR12
4350,,,,69.34,,2.21888,SDSS_DR12
11495,,,,34.251,,1.096032,SDSS_DR12
9813,,,,43.129,,1.380128,SDSS_DR12
1211,,,,27.058,,0.865856,SDSS_DR12
1255,,,,41.007,,1.312224,SDSS_DR12
15511,,,,56.378,,1.8040960000000001,SDSS_DR12
5072,,,,57.254,,1.832128,SDSS_DR12
14252,,,,66.547,,2.129504,SDSS_DR12
17794,,,,68.221,,2.183072,SDSS_DR12
1357,,,,49.603,,1.587296,SDSS_DR12
3524,,,,63.473,,2.031136,SDSS_DR12
11216,,,,35.714,,1.142848,SDSS_DR12
19841,,,,71.77,,2.29664,SDSS_DR12
21589,,,,64.003,,2.048096,SDSS_DR12
16911,,,,23.83,,0.76256,SDSS_DR12
15951,,,,93.318,,2.986176,SDSS_DR12
17737,,,,47.714,,1.526848,SDSS_DR12
22586,,,,59.387,,1.900384,SDSS_DR12
4204,,,,54.384,,1.740288,SDSS_DR12
12126,,,,34.104,,1.091328,SDSS_DR12
15737,,,,40.824,,1.306368,SDSS_DR12
21432,,,,58.039,,1.857248,SDSS_DR12
10757,,,,28.071,,0.8982720000000001,SDSS_DR12
14253,,,,42.652,,1.364864,SDSS_DR12
12768,,,,40.514,,1.296448,SDSS_DR12
17188,,,,72.382,,2.316224,SDSS_DR12
8529,,,,32.342,,1.034944,SDSS_DR12
18319,,,,72.904,,2.332928,SDSS_DR12
20890,,,,88.41,,2.82912,SDSS_DR12
18716,,,,24.489,,0.783648,SDSS_DR12
16296,,,,88.867,,2.843744,SDSS_DR12
16260,,,,59.781,,1.912992,SDSS_DR12
